Group;1.a.I;1.a.II;1.a.III;1.a.IV;1.a.V;1.b.I;1.b.II;1.b.III;1.b.IV;1.b.V;1.c.I;1.c.II;1.c.III;1.c.IV;1.c.V;2.b.I;2.b.II;2.b.III;2.b.IV;Total
Group 22;6;6;5;2;5;4;4;5;2;4;5;3;4;3;5;7;7;3;6;86
Max points;6;6;6;3;6;6;4;5;3;6;6;4;5;3;6;7;7;3;8;100
